experiment,iter,elapsed_seconds,elapsed_minutes,elapsed_hours,sec_per_iter,dir_name,t1,t2,t3,t4,t5,t6,avg,mean_repeat,mean_mscore,mean_map,mean_loc_err
Proxy lr1e-2 sl gradac32 dl5.0,20000,15499.138548374176,258.31897580623627,4.3053162634372715,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_20000_HPatchesV4.1,0.2857142857142857,0.5071428571428571,0.6214285714285714,0.7428571428571429,0.8,0.85,0.6345238095238096,0.6497082800617806,0.3405667427995978,0.7477626739731674,1.033899725725185
Proxy lr1e-2 sl gradac32 dl5.0,21000,16274.095475792885,271.23492459654807,4.520582076609134,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_21000_HPatchesV4.1,0.2857142857142857,0.5428571428571428,0.6214285714285714,0.7357142857142858,0.8,0.8642857142857143,0.6416666666666667,0.648648798258228,0.3383739811219561,0.7452236210440553,1.0404981211774162
Proxy lr1e-2 sl gradac32 dl5.0,22000,17049.052403211594,284.15087338685987,4.735847889780998,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_22000_HPatchesV4.1,0.30714285714285716,0.5571428571428572,0.6428571428571429,0.7214285714285714,0.7714285714285715,0.8285714285714286,0.6380952380952382,0.6483033045883972,0.3415817152164947,0.7493278404298236,1.0433950998637092
Proxy lr1e-2 sl gradac32 dl5.0,23000,17824.009330630302,297.06682217717173,4.951113702952862,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_23000_HPatchesV4.1,0.3142857142857143,0.4857142857142857,0.6,0.7285714285714285,0.7857142857142857,0.9,0.6357142857142857,0.6483689854742002,0.34181063275028123,0.7400034827653771,1.0402947602965509
Proxy lr1e-2 sl gradac32 dl5.0,24000,18598.96625804901,309.98277096748353,5.166379516124725,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_24000_HPatchesV4.1,0.2642857142857143,0.5357142857142857,0.6214285714285714,0.6928571428571428,0.8071428571428572,0.8571428571428571,0.6297619047619049,0.6463319943370259,0.3390636173636019,0.7416808373729188,1.0357505435959857
Proxy lr1e-2 sl gradac32 dl5.0,25000,19373.92318546772,322.89871975779533,5.381645329296589,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_25000_HPatchesV4.1,0.2785714285714286,0.5142857142857142,0.6071428571428571,0.6928571428571428,0.7642857142857142,0.8428571428571429,0.6166666666666666,0.6498982501891429,0.337977292786261,0.7427592703092649,1.0440353214314106
Proxy lr1e-2 sl gradac32 dl5.0,26000,20148.88011288643,335.81466854810714,5.596911142468453,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_26000_HPatchesV4.1,0.3,0.5142857142857142,0.6,0.7214285714285714,0.7714285714285715,0.85,0.6261904761904762,0.6487743780042506,0.3405281869966225,0.7404914129318682,1.0385039378876664
Proxy lr1e-2 sl gradac32 dl5.0,27000,20923.837040305138,348.73061733841894,5.812176955640316,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_27000_HPatchesV4.1,0.2785714285714286,0.5428571428571428,0.6428571428571429,0.7214285714285714,0.7785714285714286,0.85,0.6357142857142858,0.6504337983911824,0.33967183970293136,0.7408940729319454,1.0422642409154885
Proxy lr1e-2 sl gradac32 dl5.0,28000,21698.793967723846,361.6465661287308,6.02744276881218,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_28000_HPatchesV4.1,0.2571428571428571,0.5357142857142857,0.6142857142857143,0.7285714285714285,0.8071428571428572,0.8571428571428571,0.6333333333333334,0.648688164173136,0.3407543732626741,0.7448608641631499,1.037172335865922
Proxy lr1e-2 sl gradac32 dl5.0,29000,22473.750895142555,374.5625149190426,6.2427085819840435,0.7749569274187088,eval_sl_DESCLAMBDA5.0_PRETRAINED_SAMEMODELHOMOADAPT_AGGRESSIVEHOMOADAPT_CFANORMALIZE_XHOMOWARP_DETERMHOMOADAPT_train_v16.2-chroma-HumanTunedInitialHype_sunlit_lr0.01_bothLoss_initialHypeHomoAdaptOnly_gradac32_29000_HPatchesV4.1,0.2714285714285714,0.5071428571428571,0.6071428571428571,0.7285714285714285,0.7857142857142857,0.8428571428571429,0.6238095238095238,0.6491965668784584,0.3394225858096066,0.750523779590185,1.0378183045021627
